Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1944,17,Actress in a Supporting Role,1,Ethel Barrymore,,None but the Lonely Heart,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),1,Max Steiner,,Since You Went Away,
1944,17,Documentary (Feature),1,United States Navy,,The Fighting Lady,
1944,17,Special Effects,1,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",,Thirty Seconds over Tokyo,
1944,17,Short Subject (One Reel),1,"Jerry Fairbanks, Producer",,Who's Who in Animal Land,
1944,17,Art Direction (Color),1,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little,,Wilson,
1944,17,Cinematography (Color),1,Leon Shamroy,,Wilson,
1944,17,Film Editing,1,Barbara McLean,,Wilson,
1944,17,Sound Recording,1,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",,Wilson,
1944,17,Writing (Original Screenplay),1,Lamar Trotti,,Wilson,
1944,17,Documentary (Short Subject),1,United States Marine Corps,,With the Marines at Tarawa,
1945,18,Actor in a Supporting Role,1,James Dunn,,A Tree Grows in Brooklyn,
1945,18,Music (Scoring of a Musical Picture),1,Georgie Stoll,,Anchors Aweigh,
1945,18,Art Direction (Black and White),1,Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields,,Blood on the Sun,
1945,18,Art Direction (Color),1,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer",,Frenchman's Creek,
1945,18,Documentary (Short Subject),1,"Gordon Hollingshead, Producer",,Hitler Lives?,
1945,18,Cinematography (Color),1,Leon Shamroy,,Leave Her to Heaven,
1945,18,Writing (Original Screenplay),1,Richard Schweizer,,Marie-Louise,
1945,18,Actress,1,Joan Crawford,,Mildred Pierce,
1945,18,Special Award,1,Walter Wanger,,NA,NA
1945,18,Special Award,1,Peggy Ann Garner,,NA,NA
1945,18,Special Award,1,The House I Live In,,NA,NA
1945,18,Special Award,1,"Republic Studio, Daniel J. Bloomberg and the Republic Studio Sound Department",,NA,NA
1945,18,Actress in a Supporting Role,1,Anne Revere,,National Velvet,
1945,18,Film Editing,1,Robert J. Kern,,National Velvet,
1945,18,Short Subject (Cartoon),1,"Frederick Quimby, Producer",,Quiet Please!,
1945,18,Music (Music Score of a Dramatic or Comedy Picture),1,Miklos Rozsa,,Spellbound,
1945,18,Short Subject (One Reel),1,"Herbert Moulton, Producer; Jerry Bresler, Executive Producer",,Stairway to Light,
1945,18,Short Subject (Two Reel),1,"Gordon Hollingshead, Producer",,Star in the Night,
1945,18,Music (Song),1,Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,,State Fair,
1945,18,Sound Recording,1,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",,The Bells of St. Mary's,
1945,18,Writing (Original Motion Picture Story),1,Charles G. Booth,,The House on 92nd Street,
1945,18,Actor,1,Ray Milland,,The Lost Weekend,
1945,18,Best Motion Picture,1,Paramount,,The Lost Weekend,
1945,18,Directing,1,Billy Wilder,,The Lost Weekend,
1945,18,Writing (Screenplay),1,"Charles Brackett, Billy Wilder",,The Lost Weekend,
1945,18,Cinematography (Black and White),1,Harry Stradling,,The Picture of Dorian Gray,
1945,18,Documentary (Feature),1,The Governments of Great Britain and the United States of America,,The True Glory,
1945,18,Special Effects,1,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,,Wonder Man,
1946,19,Short Subject (Two Reel),1,"Gordon Hollingshead, Producer",,A Boy and His Dog,
1946,19,Art Direction (Black and White),1,"Art Direction: Lyle Wheeler, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes",,Anna and the King of Siam,
1946,19,Cinematography (Black and White),1,Arthur Miller,,Anna and the King of Siam,
1946,19,Special Effects,1,Special Visual Effects by Thomas Howard,,Blithe Spirit,
1946,19,Short Subject (One Reel),1,"Gordon Hollingshead, Producer",,Facing Your Danger,
1946,19,Special Award,1,Laurence Olivier,,Henry V,
1946,19,Irving G. Thalberg Memorial Award,1,Samuel Goldwyn,,NA,NA
1946,19,Special Award,1,Ernst Lubitsch,,NA,NA
1946,19,Special Award,1,"Claude Jarman, Jr.",,NA,NA
1946,19,Documentary (Short Subject),1,United States Department of War,,Seeds of Destiny,
1946,19,Actor,1,Fredric March,,The Best Years of Our Lives,tt0036868
1946,19,Actor in a Supporting Role,1,Harold Russell,,The Best Years of Our Lives,tt0036868
1946,19,Best Motion Picture,1,Samuel Goldwyn Productions,,The Best Years of Our Lives,tt0036868
1946,19,Directing,1,William Wyler,,The Best Years of Our Lives,tt0036868
1946,19,Film Editing,1,Daniel Mandell,,The Best Years of Our Lives,tt0036868
1946,19,Music (Music Score of a Dramatic or Comedy Picture),1,Hugo Friedhofer,,The Best Years of Our Lives,tt0036868
1946,19,Special Award,1,Harold Russell,,The Best Years of Our Lives,tt0036868
1946,19,Writing (Screenplay),1,Robert E. Sherwood,,The Best Years of Our Lives,tt0036868
1946,19,Short Subject (Cartoon),1,"Frederick Quimby, Producer",,The Cat Concerto,
1946,19,Music (Song),1,Music by Harry Warren; Lyrics by Johnny Mercer,"""On The Atchison, Topeka And The Santa Fe""",The Harvey Girls,
1946,19,Music (Scoring of a Musical Picture),1,Morris Stoloff,,The Jolson Story,
1946,19,Sound Recording,1,"Columbia Studio Sound Department, John Livadary, Sound Director",,The Jolson Story,
1946,19,Actress in a Supporting Role,1,Anne Baxter,,The Razor's Edge,
1946,19,Writing (Original Screenplay),1,"Muriel Box, Sydney Box",,The Seventh Veil,
1946,19,Art Direction (Color),1,"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis",,The Yearling,
1946,19,Cinematography (Color),1,"Charles Rosher, Leonard Smith, Arthur Arling",,The Yearling,
1946,19,Actress,1,Olivia de Havilland,,To Each His Own,
1946,19,Writing (Original Motion Picture Story),1,Clemence Dane,,Vacation from Marriage,
1947,20,Actor,1,Ronald Colman,,A Double Life,
1947,20,Music (Music Score of a Dramatic or Comedy Picture),1,Dr. Miklos Rozsa,,A Double Life,
1947,20,Art Direction (Color),1,Art Direction: Alfred Junge; Set Decoration: Alfred Junge,,Black Narcissus,
1947,20,Cinematography (Color),1,Jack Cardiff,,Black Narcissus,
1947,20,Film Editing,1,"Francis Lyon, Robert Parrish",,Body and Soul,
1947,20,Short Subject (Two Reel),1,"Irving Allen, Producer",,Climbing the Matterhorn,
1947,20,Documentary (Feature),1,"Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers",,Design for Death,
1947,20,Documentary (Short Subject),1,United Nations Division of Films and Visual Information,,First Steps,
1947,20,Actress in a Supporting Role,1,Celeste Holm,,Gentleman's Agreement,
1947,20,Best Motion Picture,1,20th Century-Fox,,Gentleman's Agreement,
1947,20,Directing,1,Elia Kazan,,Gentleman's Agreement,
1947,20,Short Subject (One Reel),1,"Herbert Moulton, Producer",,Good-bye Miss Turlock,
1947,20,Art Direction (Black and White),1,Art Direction: John Bryan; Set Decoration: Wilfred Shingleton,,Great Expectations,
1947,20,Cinematography (Black and White),1,Guy Green,,Great Expectations,
1947,20,Special Effects,1,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",,Green Dolphin Street,
1947,20,Actor in a Supporting Role,1,Edmund Gwenn,,Miracle on 34th Street,
1947,20,Writing (Motion Picture Story),1,Valentine Davies,,Miracle on 34th Street,
1947,20,Writing (Screenplay),1,George Seaton,,Miracle on 34th Street,
1947,20,Music (Scoring of a Musical Picture),1,Alfred Newman,,Mother Wore Tights,
1947,20,Special Award,1,Bill and Coo,,NA,NA
1947,20,Special Award,1,Shoe-Shine,,NA,NA
1947,20,Special Award,1,"Colonel William N. Selig, Albert E. Smith, Thomas Armat and George K. Spoor",,NA,NA
1947,20,Music (Song),1,Music by Allie Wrubel; Lyrics by Ray Gilbert,"""Zip-A-Dee-Doo-Dah""",Song of the South,
1947,20,Special Award,1,James Baskett,,Song of the South,
1947,20,Writing (Original Screenplay),1,Sidney Sheldon,,The Bachelor and the Bobby-Soxer,
1947,20,Sound Recording,1,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",,The Bishop's Wife,
1947,20,Actress,1,Loretta Young,,The Farmer's Daughter,
1947,20,Short Subject (Cartoon),1,"Edward Selzer, Producer",,Tweetie Pie,
1948,21,Music (Scoring of a Musical Picture),1,"Johnny Green, Roger Edens",,Easter Parade,
1948,21,Actor,1,Laurence Olivier,,Hamlet,
1948,21,Art Direction (Black and White),1,Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon,,Hamlet,
1948,21,Best Motion Picture,1,J. Arthur Rank-Two Cities Films,,Hamlet,
1948,21,Costume Design (Black and White),1,Roger K. Furse,,Hamlet,
1948,21,Cinematography (Color),1,"Joseph Valentine, William V. Skall, Winton Hoch",,Joan of Arc,
1948,21,Costume Design (Color),1,"Dorothy Jeakins, Karinska",,Joan of Arc,
1948,21,Special Award,1,Walter Wanger,,Joan of Arc,
1948,21,Actress,1,Jane Wyman,,Johnny Belinda,
1948,21,Actress in a Supporting Role,1,Claire Trevor,,Key Largo,
1948,21,Special Foreign Language Film Award,1,NA,,Monsieur Vincent,
1948,21,Irving G. Thalberg Memorial Award,1,Jerry Wald,,NA,NA
1948,21,Special Award,1,Sid Grauman,,NA,NA
1948,21,Special Award,1,Adolph Zukor,,NA,NA
1948,21,Special Award,1,Jean Hersholt,,NA,NA
1948,21,Special Effects,1,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",,Portrait of Jennie,
1948,21,Short Subject (Two Reel),1,"Walt Disney, Producer",,Seal Island,
1948,21,Short Subject (One Reel),1,"Edmund H. Reek, Producer",,Symphony of a City,
1948,21,Short Subject (Cartoon),1,"Fred Quimby, Producer",,The Little Orphan,
1948,21,Cinematography (Black and White),1,William Daniels,,The Naked City,
1948,21,Film Editing,1,Paul Weatherwax,,The Naked City,
1948,21,Music (Song),1,Music and Lyrics by Jay Livingston and Ray Evans,"""Buttons And Bows""",The Paleface,
1948,21,Art Direction (Color),1,Art Direction: Hein Heckroth; Set Decoration: Arthur Lawson,,The Red Shoes,
1948,21,Music (Music Score of a Dramatic or Comedy Picture),1,Brian Easdale,,The Red Shoes,
1948,21,Special Award,1,Ivan Jandl,,The Search,
1948,21,Writing (Motion Picture Story),1,"Richard Schweizer, David Wechsler",,The Search,
1948,21,Documentary (Feature),1,"Orville O. Dull, Producer",,The Secret Land,
1948,21,Sound Recording,1,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",,The Snake Pit,
1948,21,Actor in a Supporting Role,1,Walter Huston,,The Treasure of the Sierra Madre,
1948,21,Directing,1,John Huston,,The Treasure of the Sierra Madre,
1948,21,Writing (Screenplay),1,John Huston,,The Treasure of the Sierra Madre,
1948,21,Documentary (Short Subject),1,United States Army,,Toward Independence,
1949,22,Documentary (Short Subject),1,"Richard de Rochemont, Producer",,A Chance to Live,
1949,22,Directing,1,Joseph L. Mankiewicz,,A Letter to Three Wives,
1949,22,Writing (Screenplay),1,Joseph L. Mankiewicz,,A Letter to Three Wives,
1949,22,Actor,1,Broderick Crawford,,All the King's Men,
1949,22,Actress in a Supporting Role,1,Mercedes McCambridge,,All the King's Men,
1949,22,Best Motion Picture,1,Robert Rossen Productions,,All the King's Men,
1949,22,Short Subject (One Reel),1,"Jack Eaton, Producer",,Aquatic House-Party,
1949,22,Cinematography (Black and White),1,Paul C. Vogel,,Battleground,
1949,22,Writing (Story and Screenplay),1,Robert Pirosh,,Battleground,
1949,22,Film Editing,1,Harry Gerstad,,Champion,
1949,22,Documentary (Feature),1,Crown Film Unit,,Daybreak in Udi,
1949,22,Short Subject (Cartoon),1,"Edward Selzer, Producer",,For Scent-Imental Reasons,
1949,22,Art Direction (Color),1,"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Jack D. Moore",,Little Women,
1949,22,Special Effects,1,ARKO Productions,,Mighty Joe Young,
1949,22,Special Award,1,Bobby Driscoll,,NA,NA
1949,22,Special Award,1,Fred Astaire,,NA,NA
1949,22,Special Award,1,Cecil B. DeMille,,NA,NA
1949,22,Special Award,1,Jean Hersholt,,NA,NA
1949,22,Music (Song),1,Music and Lyrics by Frank Loesser,"""Baby, It's Cold Outside""",Neptune's Daughter,
1949,22,Music (Scoring of a Musical Picture),1,"Roger Edens, Lennie Hayton",,On the Town,
1949,22,Cinematography (Color),1,Winton Hoch,,She Wore a Yellow Ribbon,
1949,22,Documentary (Short Subject),1,"Edward Selzer, Producer",,So Much for So Little,
1949,22,Costume Design (Color),1,"Leah Rhodes, Travilla, Marjorie Best",,The Adventures of Don Juan,
1949,22,Special Foreign Language Film Award,1,NA,,The Bicycle Thief,
1949,22,Actress,1,Olivia de Havilland,,The Heiress,
1949,22,Art Direction (Black and White),1,"Art Direction: Harry Horner, John Meehan; Set Decoration: Emile Kuri",,The Heiress,
1949,22,Costume Design (Black and White),1,"Edith Head, Gile Steele",,The Heiress,
1949,22,Music (Music Score of a Dramatic or Comedy Picture),1,Aaron Copland,,The Heiress,
1949,22,Writing (Motion Picture Story),1,Douglas Morrow,,The Stratton Story,
1949,22,Actor in a Supporting Role,1,Dean Jagger,,Twelve O'Clock High,
1949,22,Sound Recording,1,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",,Twelve O'Clock High,
1949,22,Short Subject (Two Reel),1,"Gaston Diehl and Robert Haessens, Producers",,Van Gogh,
1950,23,Actor in a Supporting Role,1,George Sanders,,All about Eve,tt0042192
1950,23,Best Motion Picture,1,20th Century-Fox,,All about Eve,tt0042192
1950,23,Costume Design (Black and White),1,"Edith Head, Charles LeMaire",,All about Eve,tt0042192
1950,23,Directing,1,Joseph L. Mankiewicz,,All about Eve,tt0042192
1950,23,Sound Recording,1,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",,All about Eve,tt0042192
1950,23,Writing (Screenplay),1,Joseph L. Mankiewicz,,All about Eve,tt0042192
1950,23,Music (Scoring of a Musical Picture),1,"Adolph Deutsch, Roger Edens",,Annie Get Your Gun,
1950,23,Actress,1,Judy Holliday,,Born Yesterday,
1950,23,Music (Song),1,Music and Lyrics by Ray Evans and Jay Livingston,"""Mona Lisa""","Captain Carey, U.S.A.",
1950,23,Actor,1,José Ferrer,,Cyrano de Bergerac,
1950,23,Special Effects,1,George Pal Productions,,Destination Moon,
1950,23,Short Subject (Cartoon),1,"Stephen Bosustow, Producer",,Gerald McBoing-Boing,
1950,23,Short Subject (One Reel),1,"Gordon Hollingshead, Producer",,Grandad of Races,
1950,23,Actress in a Supporting Role,1,Josephine Hull,,Harvey,
1950,23,Short Subject (Two Reel),1,"Walt Disney, Producer",,In Beaver Valley,
1950,23,Cinematography (Color),1,Robert Surtees,,King Solomon's Mines,
1950,23,Film Editing,1,"Ralph E. Winters, Conrad A. Nervig",,King Solomon's Mines,
1950,23,Honorary Award,1,George Murphy,,NA,NA
1950,23,Honorary Award,1,Louis B. Mayer,,NA,NA
1950,23,Honorary Foreign Language Film Award,1,,,The Walls of Malapaga,
1950,23,Irving G. Thalberg Memorial Award,1,Darryl F. Zanuck,,NA,NA
1950,23,Writing (Motion Picture Story),1,"Edna Anhalt, Edward Anhalt",,Panic in the Streets,
1950,23,Art Direction (Color),1,"Art Direction: Hans Dreier, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer",,Samson and Delilah,
1950,23,Costume Design (Color),1,"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",,Samson and Delilah,
1950,23,Art Direction (Black and White),1,"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer",,Sunset Blvd.,
1950,23,Music (Music Score of a Dramatic or Comedy Picture),1,Franz Waxman,,Sunset Blvd.,
1950,23,Writing (Story and Screenplay),1,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",,Sunset Blvd.,
1950,23,Cinematography (Black and White),1,Robert Krasker,,The Third Man,
1950,23,Documentary (Feature),1,"Robert Snyder, Producer",,The Titan: Story of Michelangelo,
1950,23,Documentary (Short Subject),1,"Edmund Reek, Producer",,Why Korea?,
1951,24,Cinematography (Black and White),1,William C. Mellor,,A Place in the Sun,tt0043924
1951,24,Costume Design (Black and White),1,Edith Head,,A Place in the Sun,tt0043924
1951,24,Directing,1,George Stevens,,A Place in the Sun,tt0043924
1951,24,Film Editing,1,William Hornbeck,,A Place in the Sun,tt0043924
1951,24,Music (Music Score of a Dramatic or Comedy Picture),1,Franz Waxman,,A Place in the Sun,tt0043924
1951,24,Writing (Screenplay),1,"Michael Wilson, Harry Brown",,A Place in the Sun,tt0043924
1951,24,Actor in a Supporting Role,1,Karl Malden,,A Streetcar Named Desire,
1951,24,Actress,1,Vivien Leigh,,A Streetcar Named Desire,
1951,24,Actress in a Supporting Role,1,Kim Hunter,,A Streetcar Named Desire,
1951,24,Art Direction (Black and White),1,Art Direction: Richard Day; Set Decoration: George James Hopkins,,A Streetcar Named Desire,
1951,24,Art Direction (Color),1,"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason",,An American in Paris,tt0043278
1951,24,Best Motion Picture,1,"Arthur Freed, Producer",,An American in Paris,tt0043278
1951,24,Cinematography (Color),1,Alfred Gilks; Ballet Photography by John Alton,,An American in Paris,tt0043278
1951,24,Costume Design (Color),1,"Orry-Kelly, Walter Plunkett, Irene Sharaff",,An American in Paris,tt0043278
1951,24,Music (Scoring of a Musical Picture),1,"Johnny Green, Saul Chaplin",,An American in Paris,tt0043278
1951,24,Writing (Story and Screenplay),1,Alan Jay Lerner,,An American in Paris,tt0043278
1951,24,Documentary (Short Subject),1,'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',,Benjy,
1951,24,Music (Song),1,Music by Hoagy Carmichael; Lyrics by Johnny Mercer,"""In The Cool, Cool, Cool Of The Evening""",Here Comes the Groom,
1951,24,Documentary (Feature),1,"Olle Nordemar, Producer",,Kon-Tiki,
1951,24,Honorary Award,1,Gene Kelly,,NA,NA
1951,24,Honorary Foreign Language Film Award,1,,,Rashomon,
1951,24,Irving G. Thalberg Memorial Award,1,Arthur Freed,,NA,NA
1951,24,Short Subject (Two Reel),1,"Walt Disney, Producer",,Nature's Half Acre,
1951,24,Writing (Motion Picture Story),1,"Paul Dehn, James Bernard",,Seven Days to Noon,
1951,24,Actor,1,Humphrey Bogart,,The African Queen,
1951,24,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,The Great Caruso,
1951,24,Short Subject (Cartoon),1,"Fred Quimby, Producer",,The Two Mouseketeers,
1951,24,Special Effects,1,Paramount,,When Worlds Collide,
1951,24,Short Subject (One Reel),1,"Robert Youngson, Producer",,World of Kids,
1952,25,Sound Recording,1,London Film Sound Department,,Breaking the Sound Barrier,
1952,25,Actress,1,Shirley Booth,,"Come Back, Little Sheba",
1952,25,Actor,1,Gary Cooper,,High Noon,
1952,25,Film Editing,1,"Elmo Williams, Harry Gerstad",,High Noon,
1952,25,Music (Music Score of a Dramatic or Comedy Picture),1,Dimitri Tiomkin,,High Noon,
1952,25,Music (Song),1,Music by Dimitri Tiomkin; Lyrics by Ned Washington,"""High Noon (Do Not Forsake Me, Oh My Darlin')""",High Noon,
1952,25,Short Subject (Cartoon),1,"Fred Quimby, Producer",,Johann Mouse,
1952,25,Short Subject (One Reel),1,"Boris Vermont, Producer",,Light in the Window: The Art of Vermeer,
